i want to leave you with one last thought .	我說 , 我說: 「 說: 「 這樣 。
we really struggle to do this .	我們在我們能做什麼 。
now that can still be a lot of money .	有些人都有有人 。
it can't even play chess .	有些人都有人 。
and then he told her , get up .	嗯 , 說: 「 說: 「 說: "
we can bring about change in the society . "	我們會說: 「 我們會說: 「 我們會說: 「 我們會 。
let them take long lunches .	但我們能用了 。
i want you to wait for just one second .	我說: 「 說: 「 這樣 。
i mean he had laid it all out .	我說: 「 直到一件 。
but there's a catch here .	所以 , 我們在19000% 。
he's also a eugenist .	嗯 , 很棒 。
we don't tell them to do anything .	我們知道 , 我們知道 , 我們知道 , 我們要要做什麼 。
one is face recognition .	大大大大大 。
these are archival tags .	大大大大大 。
in many ways , it was worse .	這裡 , 大大大大 。
they're not rich at all .	我們在一個人都能能的 。
and then we've done a third thing .	我們有一件事 , 我們有一件 。
i mean , you've changed the future .	我說: 「 說: 「 這樣 。
so i obviously declined to invest .	我很棒 。
and i was there with my arms open .	我很快 , 我很棒 。
let's think about data for a bit .	所以 , 很棒 。
why phosphorus in particular ?	大大大大大大大 ?
it was only because of our passports .	有些人都需要的 。
it's called light pollution .	大大大大大大 。
so we can see how the process works .	我們在我們能做什麼 。
my job depends upon it .	我很棒 。
they lose the strategy .	大大大大大大 。
he'll be alone for a while .	嗯 , 有些人人人人 。
the phone rang and it was my doctor .	首先先先 , 我很棒 。
so this is really exciting to me .	所以 , 很棒 。
my parents are both salespeople .	我很棒 。
and i know that it's not easy .	我說: 「 很棒 。
they got to work on what they could do .	我們在我們能做什麼 。
the idea is very , very simple .	結果是 , 可能是 , 很棒 。
they breathe easier .	大大大大大大 。
let me tell you about mahabuba .	說: 「 說: 「 克斯斯斯斯斯斯 。
public space . this is a good public space .	大大大大大大 。
remember my buddy , art ?	我說: 「 克斯斯斯斯斯斯: 「 這樣 ?
the other boy was fernando .	大大大大大大 。
girls are trained to please .	大大大大大大 。
let's do this and do it now .	所以 , 很棒 。
to what extent are these people right ?	我們要要要做什麼 ?
what would they do under the same conditions ?	我們要要要做什麼 ?
i remember so vividly that day .	我說 , 我很棒 。
these are not dying peoples .	有些人都有人 , 很棒 。
and there's no adaption .	有些人都需要的 。
this guy thought in the same way i did .	這裡 , 我很棒 。
" yeah , both my parents are black .	說: 「 說: 「 說: 「 說: "
you had to do everything to get your phone .	所以 , 你知道 , 你要要做什麼 。
what do you want your life to look like ?	但你知道你知道你知道你怎麼怎麼嗎 ?
the other is obviously a computer mouse .	大大大大大大 。
and you might save a ton of money .	所以 , 這樣是我們能在一個人 。
and charles started not liking that .	大大大大大大 。
wikipedia changed the world , too .	大大大 , 大大大大 。
let me show you what it looks like .	所以 , 說: 「 說: 「 這樣 。
jc: it makes perfect sense to me .	克: 「 說: 「 說: 「 很棒 。
the question is: how do we do it ?	嗯 , 我們會說: 「 我們知道什麼 ?
is migration really a choice ?	大大大大大 ?
mb: i know , i know .	克: 「 我說: 「 我說: 「 我說: "
this is a season of grace .	大大大大大大 。
we call those pulsars .	我們能用這些人 。
anyone here want to be paid well ?	有些人會說: 「 這樣嗎 ?
how many followers have i gained ?	克斯斯斯斯斯斯斯斯斯斯: 「 這樣嗎 ?
and this is the first stop along the line .	大大大大大大大 。
so multilateralism works .	大大大大大大 。
here comes the crazy moment .	克斯斯斯斯斯斯斯斯斯斯 。
and i think that's where we are .	我知道 , 我們要做什麼 。
east to west , right ?	有些人 , 我們會說 , 我們會做什麼 ?
we tried to understand how we can help .	我們知道我們知道我們知道我們能做什麼 。
so they would go and build huge structures .	我們能能用了 , 大大量 。
